Price,Close,High,Low,Open,Volume,RSI_14
Ticker,5439.TWO,5439.TWO,5439.TWO,5439.TWO,5439.TWO,
Date,,,,,,
2023-01-03,43.7483024597168,43.7483024597168,43.56213876037107,43.701762422574674,151000,
2023-01-04,43.7483024597168,43.98100619620465,43.7483024597168,43.79484249685892,63000,
2023-01-05,43.7483024597168,44.21370993269251,43.60867879751319,44.21370993269251,63000,
2023-01-06,44.9583625793457,45.144526284488755,43.74830382208189,43.74830382208189,272000,
2023-01-09,45.88917541503906,45.9357154514609,45.05144410711439,45.05144410711439,418000,
2023-01-10,45.93571853637695,46.02880216624905,45.65647474831549,45.98226212670171,168000,
2023-01-11,46.075340270996094,47.00615522596571,45.79609649466066,46.35458404733153,356000,
2023-01-12,45.88917541503906,46.49420654085452,45.79609534219538,46.49420654085452,97000,
2023-01-13,45.47031021118164,45.98226128921029,45.47031021118164,45.98226128921029,100000,
2023-01-16,45.42376708984375,45.703010853868655,45.284146983219856,45.42376708984375,114000,
2023-01-17,45.144527435302734,45.51685485508012,45.144527435302734,45.470311264524874,159000,
2023-01-30,48.030052185058594,48.86778709848647,46.0753421214301,46.0753421214301,980000,
2023-01-31,49.053951263427734,49.426275133365614,47.93697255205922,48.216216342206984,679000,
2023-02-01,51.00865936279297,51.00865936279297,49.14702943312332,49.98476432178558,1070000,
2023-02-02,50.8224983215332,51.194825747278955,50.07784702081919,50.915581953358384,649000,88.31934014203816
2023-02-03,51.846397399902344,52.40488499240728,51.194826174794905,51.66023368547486,1294000,89.93005101772889
2023-02-06,50.91558074951172,52.311803236879804,50.26400954525113,52.311803236879804,749000,79.2333489238595
2023-02-07,52.218719482421875,52.77721060650043,51.10174433581956,51.10174433581956,1016000,82.39116529027885
2023-02-08,52.218719482421875,52.77721060650043,51.9394756957713,52.77721060650043,664000,82.39116529027885
2023-02-09,53.98727035522461,54.26651414690649,52.49796776573629,52.59104784603777,1540000,85.79177317434812
2023-02-10,53.80110549926758,54.359596621527324,53.335698006106476,53.335698006106476,589000,83.95383331525494
2023-02-13,53.42877960205078,54.359594552952174,53.14953227615857,53.987267152280715,434000,80.25090079633395
2023-02-14,52.87028884887695,53.80110380590217,52.87028884887695,53.80110380590217,451000,74.91335126356849
2023-02-15,51.5671501159668,53.056452629104434,51.28790278782337,52.68412522543139,843000,64.18601772908286
2023-02-16,52.87028884887695,52.96337247504584,51.660230114899626,51.93947389185173,522000,68.97104475035593
2023-02-17,54.91808319091797,55.19732697156378,52.59104576757399,52.77720947159697,952000,74.69308980361347
2023-02-20,54.452674865722656,55.848897298177086,54.359594790536605,54.918082343207466,1054000,71.46738583326274
2023-02-21,54.73191833496094,55.104245735170586,54.35959448552853,54.45267456019232,296000,72.24196595670863
2023-02-22,56.6866340637207,57.33820171325293,54.63884038450937,54.825004091851746,2045000,76.95757897838803
2023-02-23,57.245121002197266,58.17593597784275,57.152040924943655,57.80360856727362,1510000,78.10220580533206
2023-02-24,58.082855224609375,58.36209900389766,56.59354915044304,57.24512033596723,1433000,79.72884844847069
2023-03-01,58.64134216308594,59.10674964057075,57.52436350696694,57.71052720811632,1164000,80.7552010975714
2023-03-02,59.94448471069336,60.03756478617497,57.803607466843594,58.82750605102767,3714000,82.92731946697376
2023-03-03,59.75831985473633,60.40989461234759,59.385995987100856,60.40989461234759,957000,81.51191146712823
2023-03-06,60.40989303588867,62.550763208173585,60.31681295910318,60.50297311267417,3225000,82.62941437963467
2023-03-07,59.94448471069336,60.782219593136944,59.85140463521175,60.596052340619174,968000,78.95820181234757
2023-03-08,61.61994934082031,61.899196677732746,60.130646780915136,60.223726859367694,1827000,82.05008484809849
2023-03-09,61.52687072753906,61.89919815177048,61.06146322263854,61.71303799043224,723000,81.33506622444784
2023-03-10,61.24762725830078,61.340707334065364,59.94448489293286,61.154540080981626,1123000,79.10778354533444
2023-03-13,60.968379974365234,62.55076256819258,59.479077456371044,62.08535508747224,1580000,76.84165348019437
2023-03-14,60.968379974365234,61.61994760675189,60.50297249364489,60.968379974365234,857000,76.84165348019437
2023-03-15,60.22372817993164,61.34071045051938,60.037568018944484,61.2476303700258,569000,70.58804855048965
2023-03-16,59.85140609741211,60.50297374325606,59.01367119450224,59.292914978546406,1079000,67.62465690179549
2023-03-17,61.713035583496094,61.80611566053489,60.037565790578995,60.40989320028887,1523000,73.59392255459832
2023-03-20,61.713035583496094,61.89919573757369,61.15454091815395,61.34070817378622,600000,73.59392255459832
2023-03-21,61.24762725830078,62.36460237058495,61.061460005217036,62.17844221905578,642000,69.85934647440386
2023-03-22,61.89919662475586,62.830011611594294,61.24762897459087,61.619949288082424,949000,72.00147583158753
2023-03-23,62.830013275146484,63.016173436821234,61.80611818282546,62.08535842533758,1027000,74.76110962578872
2023-03-24,62.45768737792969,63.20234224595252,61.992279860804196,63.20234224595252,771000,71.71618007755174
2023-03-27,63.76082992553711,63.76082992553711,62.550767538882965,63.01617505658761,1157000,75.48034939771162
2023-03-28,59.57215881347656,65.06396862440488,59.57215881347656,64.6916412115097,3477000,51.67477361981948
2023-03-29,61.154541015625,61.89919583623161,60.130645963456914,60.130645963456914,1559000,57.17030375737678
2023-03-30,62.923091888427734,63.853906878201975,61.61994948243284,61.61994948243284,3472000,62.32684546215369
2023-03-31,62.178443908691406,63.388499129622176,61.154541742793754,63.388499129622176,1667000,59.1004156805079
2023-04-06,62.7369270324707,62.7369270324707,61.154537407433224,61.99227225579962,850000,60.741839528968235
2023-04-07,62.923091888427734,63.10925914731546,61.99227689865349,63.0161719670942,1166000,61.2993998667403
2023-04-10,63.57466506958008,63.57466506958008,62.736930179195035,63.01617040828697,1655000,63.26584642877863
2023-04-11,63.76082992553711,63.946990091996916,61.8061197714886,63.76082992553711,2597000,63.831325100080406
2023-04-12,65.6224594116211,66.55327443873628,63.5746691925897,63.5746691925897,4465000,68.9746414225359
2023-04-13,63.66774368286133,65.99478104625864,63.57466360863633,65.43629349935418,2450000,59.419925451540294
2023-04-14,62.7369270324707,64.31930955595392,62.643846960775385,63.94698216761838,1742000,55.478797045476476
2023-04-17,62.923091888427734,63.48157946198132,62.36460431487415,62.45768439354062,873000,56.1058630193978
2023-04-18,62.085357666015625,63.295420006766946,62.08535766601563,63.295420006766946,816000,52.52099993771513
2023-04-19,59.29291534423828,61.89919659602051,59.10675163680154,61.89919659602051,4366000,42.72205901636237
2023-04-20,59.29291534423828,60.03756662320786,58.45518043616163,58.641344143598374,1512000,42.72205901636237
2023-04-21,58.36210250854492,59.851408672144174,57.61745120213405,59.29291752925288,1594000,39.84797210582671
2023-04-24,59.29291534423828,59.94448654487818,58.26901672872489,58.45518043616163,559000,43.91152604146065
2023-04-25,58.17593765258789,59.47908007631684,57.71053015136719,59.47908007631684,1128000,40.3857798295859
2023-04-26,58.827510833740234,59.38599843358982,57.896695800139206,57.896695800139206,688000,43.24833904042477
2023-04-27,60.316810607910156,60.78221807525035,58.45517718777222,58.827504581955246,1100000,49.2471929467426
2023-04-28,60.968379974365234,61.526867530918736,60.31681234197858,60.78221982269893,1167000,51.654909210920934
2023-05-02,61.61994934082031,62.17844401464518,60.968381690097665,61.713036520827636,967000,54.00477300052385
2023-05-03,62.923091888427734,64.0400741370897,61.526869403766376,61.7130366626541,3154000,58.36368902920477
2023-05-04,64.59856414794922,65.15705174257457,62.27152658571441,62.83001418033976,3520000,63.19340291341569
2023-05-05,64.69164276123047,65.43629760485939,64.22623525935111,65.15705026310982,2628000,63.44707265665927
2023-05-08,66.64634704589844,66.83251429137349,64.69163712851321,65.52937197926525,4962000,68.37622810889044
2023-05-09,66.92559814453125,67.76333304261406,65.71553583601666,67.57716578662084,5784000,69.01898175366794
2023-05-10,68.32182312011719,69.34571821029375,66.18094575756668,68.32182312011719,7365000,72.07508444386842
2023-05-11,66.46019744873047,69.15956257327707,65.52938237830443,69.06647538499014,4521000,63.13279158161628
2023-05-12,68.41490173339844,68.50798181204448,66.27402441676541,67.76333408132132,3108000,67.66866343855637
2023-05-15,66.64634704589844,68.97338435267949,66.46018690197766,67.39100182469008,2836000,60.42498465446682
2023-05-16,67.0186767578125,67.67024438566942,66.274021953215,66.5532692803277,1224000,61.36270256294853
2023-05-17,67.29792785644531,67.94949552081748,66.83252035287806,67.11176059408545,860000,62.08826806041424
2023-05-18,70.55577850341797,70.55577850341797,67.48408622101208,67.94949371219147,7083000,69.32544399508252
2023-05-19,69.90420532226562,71.20734774709867,69.34571774063858,69.90420532226562,4917000,66.58761887641646
2023-05-22,70.64885711669922,72.13815963728713,69.81112222963272,70.74193719269448,4496000,68.13637470445556
2023-05-23,70.55577850341797,71.30042622837216,66.36711108280342,71.02118599459736,6941000,67.71386713744224
2023-05-24,73.81363677978516,74.93061200633827,70.64886416914428,72.1381668384002,11031000,73.83056218040497
2023-05-25,73.34822082519531,75.11676354713306,72.4174058761525,73.53438097438207,5122000,71.73956568575383
2023-05-26,74.93061065673828,75.86142569595242,72.88282041108924,72.97590049469962,5899000,74.39479639828639
2023-05-29,75.20985412597656,81.81863914286879,74.6513594500395,77.44380442350563,12493000,74.84397562442422
2023-05-30,76.23374938964844,77.25764446221014,75.02368705744972,75.02368705744972,4461000,76.47365820624941
2023-05-31,76.6060791015625,77.0714866122608,75.58217689678222,76.3268317545215,1670000,77.05575032668693
2023-06-01,77.90921020507812,77.90921020507812,76.60607492737346,76.88531515764389,2076000,79.01294456146034
2023-06-02,76.14066314697266,79.02618797299051,76.14066314697266,78.37461326933858,3564000,70.25413378416918
2023-06-05,75.67526245117188,76.79223761218167,75.20985495049199,76.60607745253165,1811000,68.11429882250526
2023-06-06,74.74444580078125,76.41990850533143,73.90671089772879,75.7683408593766,2729000,63.9208374205114
2023-06-07,73.6274642944336,75.30293411718624,73.53438421573729,74.46519920580991,2404000,59.210021831038326
2023-06-08,73.25513458251953,73.53438191141255,71.76583206538412,72.9758943551811,3276000,57.68394980022614
2023-06-09,77.25764465332031,77.443804811863,73.34822451148507,73.62746474929911,6028000,67.40857002687042
2023-06-12,78.18846130371094,82.00480144703344,77.6299737147097,80.98090635027204,14600000,69.18228701561318
2023-06-13,76.51299285888672,78.1884627586221,76.23375260996757,77.25764772578137,4694000,62.580290680701886
2023-06-14,78.93311309814453,79.30543340868154,77.44380344977769,77.72305078423516,4981000,67.41706612819965
2023-06-15,78.74694061279297,80.51549037663688,77.81612569514398,79.67775553044194,3744000,66.70279550690546
2023-06-16,77.25764465332031,78.93311448642389,77.16456457404897,78.37461980768614,2643000,61.12382976899483
2023-06-19,77.81613159179688,78.09537892887371,75.95450161543066,76.69915644659906,1457000,62.394061006310594
2023-06-20,76.41990661621094,77.72304897746132,76.41990661621094,77.72304897746132,943000,57.349151553688316
2023-06-21,78.18846130371094,78.46770864898905,76.41991135391123,76.41991135391123,1781000,61.58603953894704
2023-06-26,78.37461853027344,79.86392818056036,77.53689072893046,78.46770570958242,3053000,62.013790852811326
2023-06-27,75.8614273071289,78.65387248407843,75.8614273071289,78.09538486899959,2349000,53.37298791226161
2023-06-28,77.16456604003906,79.02619606705301,76.32683110757179,76.32683110757179,2647000,56.73897487455772
2023-06-29,80.5155029296875,80.5155029296875,78.00230510082807,78.37462544469216,5025000,63.946450045842994
2023-06-30,78.0022964477539,81.35322888168733,77.35072171516255,80.79474132629085,3986000,56.362073038513785
2023-07-03,83.58718872070312,84.23875637135133,78.18845895241449,78.28153903085642,7084000,66.00986059059548
2023-07-04,83.68026733398438,84.33183497322426,81.3532299059067,84.05259474278773,4273000,66.14420402195704
2023-07-05,81.53939056396484,84.23875541754519,81.44631048657683,83.58718777427445,2791000,60.24602021025517
2023-07-06,79.86392974853516,82.37712740501537,79.86392974853516,80.98090490662528,2503000,56.03476688692966
2023-07-07,84.23876190185547,84.33184198640835,78.74695169457263,79.7708468277648,8068000,63.25697105977455
2023-07-10,83.02869415283203,86.37963379345292,82.47020657991348,85.1695714675004,15350000,60.306071717005686
2023-07-11,84.33183288574219,84.42491296025034,82.56328306386948,84.1456727367259,8520000,62.34336326027058
2023-07-12,88.24126434326172,89.07899215729607,84.79724460174056,85.07649194078856,17660000,67.69943995741559
2023-07-13,93.54691314697266,96.8047658436334,90.28906045031192,91.03371533588506,25157000,73.25849191932039
2023-07-14,102.85505676269531,102.85505676269531,95.87394431273862,97.27016680272995,16974000,79.82019877706374
2023-07-17,105.64750671386719,108.43995182524694,103.32046912105073,105.64750671386719,13927000,81.30245259591526
2023-07-18,100.52801513671875,109.37075720893013,99.59720018174913,109.37075720893013,8327000,71.00518755861596
2023-07-19,100.52801513671875,104.71668243408203,99.13179270426433,102.38964504665799,5182000,71.00518755861596
2023-07-20,103.78587341308594,104.2512809171805,100.52802088442405,101.92424339670771,4490000,73.48377717336506
2023-07-21,102.63482666015625,103.59403064763434,96.40000074154862,101.67562267267814,8359000,71.16894087177323
2023-07-24,107.43084716796875,109.82885714939663,103.59403119768415,104.07363319396973,9692000,74.73955241817875
2023-07-25,101.67562103271484,109.82885479477217,101.67562103271484,107.4308448647553,11001000,64.42802765130139
2023-07-26,103.59402465820312,108.39004431830513,102.63482072618272,104.07362662421333,8446000,66.10663589211444
2023-07-27,103.59402465820312,106.95123842027452,103.11442269219293,103.59402465820312,5198000,66.10663589211444
2023-07-28,102.63482666015625,104.55323463511243,99.75721469772196,103.11442865389529,4144000,64.34587746228506
2023-07-31,104.0736312866211,110.30845712406844,104.0736312866211,105.03283526161299,8727000,65.81665673524844
2023-08-01,102.15522003173828,106.47163777955821,99.27760819985834,104.55322989163824,5291000,62.13615765409607
2023-08-02,99.2776107788086,103.5940286387568,98.7980087943699,101.67562070100203,4654000,56.98824717407462
2023-08-04,100.71641540527344,101.67561936151414,95.82447669207495,99.2776094709124,4038000,58.825097862586524
2023-08-07,104.0736312866211,104.0736312866211,98.79800942416564,100.71641737414944,3712000,62.81545122874934
2023-08-08,105.0328369140625,105.51243890910388,100.23681696364869,103.11442893389697,3738000,63.89215800574349
2023-08-09,106.95124053955078,108.39004646609182,102.63482275992764,103.594026710955,6204000,66.01186217207191
2023-08-10,101.19601440429688,112.22685957632923,101.19601440429688,109.3492477923208,13636000,55.48790366575091
2023-08-11,95.92039489746094,103.59402648925781,95.92039489746094,102.1552205657959,6460000,47.94263364258167
2023-08-14,94.00199127197266,96.8796032496861,92.46726634748795,93.61830821131505,3242000,45.5187169713525
2023-08-15,97.35919952392578,97.83880149202395,95.44079165153316,96.39999558772948,2230000,50.258292677760785
2023-08-16,98.79800415039062,99.27760611228572,95.05710738397981,95.53670934587491,2349000,52.17839559611443
2023-08-17,101.19601440429688,101.67561636829828,96.87959672828421,97.35919869228562,2600000,55.27701673349144
2023-08-18,95.92039489746094,101.19601661682128,95.53671185424201,100.23681266784668,3101000,47.92049172943894
2023-08-21,98.31840515136719,98.79800712771532,95.92039526962652,97.35920119867092,3751000,51.10577416597041
2023-08-22,92.94686126708984,99.27760567242719,92.37134037899466,98.798003712657,4488000,44.53501630495645
2023-08-23,92.37134552001953,93.52238736027236,90.06925452136834,92.94686644014594,4509000,43.88399616133986
2023-08-24,91.98766326904297,94.38567322226022,91.22029715675521,92.75502206318512,2204000,43.42820710570662
2023-08-25,88.72636413574219,91.69989487558125,88.53452627567977,91.12437397724874,2315000,39.65778647152959
2023-08-28,85.75283813476562,88.72636903892757,85.65691919943376,88.72636903892757,2611000,36.54260602865327
2023-08-29,86.04058837890625,87.47939425359127,85.5609864206779,87.09571854152469,1268000,37.05786416366455
2023-08-30,86.13652038574219,87.38348116964356,86.13652038574219,86.80796024490864,1139000,37.24082257455483
2023-08-31,85.27323150634766,86.90387527281982,84.69771060748367,86.42427330407563,1273000,36.220488233412496
2023-09-01,83.83442687988281,85.84875371572893,83.73850794829879,85.36915173966341,1963000,34.522793759528284
2023-09-04,85.08139038085938,85.84875649466208,83.93034852830093,84.21811265051335,2016000,37.26712800457955
2023-09-05,86.42427825927734,86.52019719489671,84.12218721368399,85.08139120616907,1856000,40.17515951959894
2023-09-06,87.76715850830078,88.34267939554586,85.84875067205377,86.42427155929884,1922000,43.01969230862245
2023-09-07,86.04058837890625,88.05492245798138,85.75283159485632,87.28755639755798,1779000,40.36240765394472
2023-09-08,84.79363250732422,86.71204044948927,84.69771357384506,85.94467434536503,1282000,38.51219926990166
2023-09-11,82.49153900146484,86.23243583841614,81.62825399014604,84.88954885615858,1977000,35.295438792723644
2023-09-12,81.82009887695312,82.5874576368251,80.76496869014306,82.0119367373848,1913000,34.39311799407484
2023-09-13,81.62825775146484,82.29970493260565,81.24457469340518,82.01194080952449,810000,34.12468852950491
